Local Time,LMP
2023-02-03 05:35:00,49.03
2023-02-03 05:40:00,49.03
2023-02-03 05:45:00,52.28
2023-02-03 05:50:00,64.83
2023-02-03 05:55:00,53.22
2023-02-03 06:00:00,53.23
2023-02-03 06:05:00,53.25
2023-02-03 06:10:00,53.25
2023-02-03 06:15:00,55.53
2023-02-03 06:20:00,64.95
2023-02-03 06:25:00,84.61
2023-02-03 06:30:00,53.32
2023-02-03 06:35:00,53.33
2023-02-03 06:40:00,55.55
2023-02-03 06:45:00,55.55
2023-02-03 06:50:00,64.92
2023-02-03 06:55:00,81.8
2023-02-03 07:00:00,81.8
2023-02-03 07:05:00,91.39
2023-02-03 07:10:00,91.39
2023-02-03 07:15:00,98.19
2023-02-03 07:20:00,91.31
2023-02-03 07:25:00,95.35
2023-02-03 07:30:00,95.35
2023-02-03 07:35:00,65.13
2023-02-03 07:40:00,123.45
2023-02-03 07:45:00,113.79
2023-02-03 07:50:00,113.79
2023-02-03 07:55:00,100.37
2023-02-03 08:00:00,100.37
2023-02-03 08:05:00,90.76
2023-02-03 08:10:00,49.48
2023-02-03 08:15:00,49.48
2023-02-03 08:20:00,53.35
2023-02-03 08:25:00,52.97
2023-02-03 08:30:00,52.97
2023-02-03 08:35:00,47.71
2023-02-03 08:40:00,0.0
2023-02-03 08:45:00,0.0
2023-02-03 08:50:00,-0.01
2023-02-03 08:55:00,0.0
2023-02-03 09:00:00,0.0
2023-02-03 09:05:00,0.01
2023-02-03 09:10:00,45.97
2023-02-03 09:15:00,45.97
2023-02-03 09:20:00,44.99
2023-02-03 09:25:00,44.84
2023-02-03 09:30:00,45.99
2023-02-03 09:35:00,44.18
2023-02-03 09:40:00,44.18
2023-02-03 09:45:00,44.36
2023-02-03 09:50:00,44.36
2023-02-03 09:55:00,21.25
2023-02-03 10:00:00,0.0
2023-02-03 10:05:00,131.69
2023-02-03 10:10:00,153.83
2023-02-03 10:15:00,153.83
2023-02-03 10:20:00,156.46
2023-02-03 10:25:00,156.46
2023-02-03 10:30:00,138.72
2023-02-03 10:35:00,138.72
2023-02-03 10:40:00,157.8
2023-02-03 10:45:00,157.8
2023-02-03 10:50:00,145.92
2023-02-03 10:55:00,155.21
2023-02-03 11:00:00,155.21
2023-02-03 11:05:00,158.94
2023-02-03 11:10:00,158.94
2023-02-03 11:15:00,155.01
2023-02-03 11:20:00,149.33
2023-02-03 11:25:00,157.96
2023-02-03 11:30:00,157.96
2023-02-03 11:35:00,154.62
2023-02-03 11:40:00,154.62
2023-02-03 11:45:00,115.96
2023-02-03 11:50:00,115.96
2023-02-03 11:55:00,40.0
2023-02-03 12:00:00,40.0
2023-02-03 12:05:00,157.87
2023-02-03 12:10:00,156.18
2023-02-03 12:15:00,156.18
2023-02-03 12:20:00,146.48
2023-02-03 12:25:00,146.48
2023-02-03 12:30:00,149.61
2023-02-03 12:35:00,146.67
2023-02-03 12:40:00,146.67
2023-02-03 12:45:00,140.39
2023-02-03 12:50:00,116.0
2023-02-03 12:55:00,115.87
2023-02-03 13:00:00,115.87
2023-02-03 13:05:00,115.63
2023-02-03 13:10:00,20.18
2023-02-03 13:15:00,20.18
2023-02-03 13:20:00,139.62
2023-02-03 13:25:00,139.62
2023-02-03 13:30:00,139.65
2023-02-03 13:35:00,139.65
2023-02-03 13:40:00,139.69
2023-02-03 13:45:00,139.69
2023-02-03 13:50:00,145.91
2023-02-03 13:55:00,145.91
2023-02-03 14:00:00,157.97
2023-02-03 14:05:00,172.57
2023-02-03 14:10:00,189.05
2023-02-03 14:15:00,189.05
2023-02-03 14:20:00,168.96
2023-02-03 14:25:00,168.96
2023-02-03 14:30:00,171.92
2023-02-03 14:35:00,168.63
2023-02-03 14:40:00,177.49
2023-02-03 14:45:00,177.49
2023-02-03 14:50:00,168.78
2023-02-03 14:55:00,177.69
2023-02-03 15:00:00,177.69
2023-02-03 15:05:00,157.21
2023-02-03 15:10:00,157.21
2023-02-03 15:15:00,169.14
2023-02-03 15:20:00,169.74
2023-02-03 15:25:00,188.98
2023-02-03 15:30:00,191.3
2023-02-03 15:35:00,191.29
2023-02-03 15:40:00,191.29
2023-02-03 15:45:00,196.96
2023-02-03 15:50:00,196.96
2023-02-03 15:55:00,196.96
2023-02-03 16:00:00,198.84
2023-02-03 16:05:00,198.84
2023-02-03 16:10:00,207.13
2023-02-03 16:15:00,213.31
2023-02-03 16:20:00,205.76
2023-02-03 16:25:00,216.59
2023-02-03 16:30:00,216.59
2023-02-03 16:35:00,216.63
2023-02-03 16:40:00,240.12
2023-02-03 16:45:00,214.25
2023-02-03 16:50:00,214.25
2023-02-03 16:55:00,216.57
2023-02-03 17:00:00,216.57
2023-02-03 17:05:00,213.77
2023-02-03 17:10:00,213.77
2023-02-03 17:15:00,205.62
2023-02-03 17:20:00,213.84
2023-02-03 17:25:00,213.84
2023-02-03 17:30:00,228.69
2023-02-03 17:35:00,241.1
2023-02-03 17:40:00,248.42
2023-02-03 17:45:00,229.72
2023-02-03 17:50:00,229.72
2023-02-03 17:55:00,234.7
2023-02-03 18:00:00,234.7
2023-02-03 18:05:00,288.77
2023-02-03 18:10:00,301.8
2023-02-03 18:15:00,301.8
2023-02-03 18:20:00,301.8
2023-02-03 18:25:00,241.42
2023-02-03 18:30:00,241.42
2023-02-03 18:35:00,246.18
2023-02-03 18:40:00,246.18
2023-02-03 18:45:00,228.59
2023-02-03 18:50:00,228.59
2023-02-03 18:55:00,241.63
2023-02-03 19:00:00,241.63
2023-02-03 19:05:00,241.51
2023-02-03 19:10:00,250.28
2023-02-03 19:15:00,300.57
2023-02-03 19:20:00,251.17
2023-02-03 19:25:00,248.24
2023-02-03 19:30:00,248.24
2023-02-03 19:35:00,373.76
2023-02-03 19:40:00,274.41
2023-02-03 19:45:00,252.46
2023-02-03 19:50:00,252.46
2023-02-03 19:55:00,241.65
2023-02-03 20:00:00,377.09
2023-02-03 20:05:00,349.58
